CD_RGINT,NM_RGINT,SIGLA_UF,ano,cultura,area_ha
1302,Tefé,AM,2020,algodao_herbaceo,0
1302,Tefé,AM,2020,cana,330
1302,Tefé,AM,2020,milho,766
1302,Tefé,AM,2020,soja,0
1302,Tefé,AM,2021,algodao_arboreo,0
1302,Tefé,AM,2021,algodao_herbaceo,0
1302,Tefé,AM,2021,cana,282
1302,Tefé,AM,2021,milho,574
1302,Tefé,AM,2021,soja,0
1302,Tefé,AM,2022,algodao_arboreo,0
1302,Tefé,AM,2022,algodao_herbaceo,0
1302,Tefé,AM,2022,cana,121
1302,Tefé,AM,2022,milho,853
1302,Tefé,AM,2022,soja,0
1302,Tefé,AM,2023,algodao_arboreo,0
1302,Tefé,AM,2023,algodao_herbaceo,0
1302,Tefé,AM,2023,cana,148
1302,Tefé,AM,2023,milho,802
1302,Tefé,AM,2023,soja,0
1302,Tefé,AM,2024,algodao_arboreo,0
1302,Tefé,AM,2024,algodao_herbaceo,0
1302,Tefé,AM,2024,cana,197
1302,Tefé,AM,2024,milho,769
1302,Tefé,AM,2024,soja,65
1303,Lábrea,AM,2008,algodao_arboreo,0
1303,Lábrea,AM,2008,algodao_herbaceo,0
1303,Lábrea,AM,2008,cana,590
1303,Lábrea,AM,2008,milho,5085
1303,Lábrea,AM,2008,soja,200
1303,Lábrea,AM,2009,algodao_arboreo,0
1303,Lábrea,AM,2009,algodao_herbaceo,0
1303,Lábrea,AM,2009,cana,608
1303,Lábrea,AM,2009,milho,5077
1303,Lábrea,AM,2009,soja,204
1303,Lábrea,AM,2010,algodao_arboreo,0
1303,Lábrea,AM,2010,algodao_herbaceo,0
1303,Lábrea,AM,2010,cana,258
1303,Lábrea,AM,2010,milho,4560
1303,Lábrea,AM,2010,soja,180
1303,Lábrea,AM,2011,algodao_arboreo,0
1303,Lábrea,AM,2011,algodao_herbaceo,0
1303,Lábrea,AM,2011,cana,218
1303,Lábrea,AM,2011,milho,4834
1303,Lábrea,AM,2011,soja,180
1303,Lábrea,AM,2012,algodao_arboreo,0
1303,Lábrea,AM,2012,algodao_herbaceo,0
1303,Lábrea,AM,2012,cana,157
1303,Lábrea,AM,2012,milho,4864
1303,Lábrea,AM,2012,soja,220
1303,Lábrea,AM,2013,algodao_arboreo,0
1303,Lábrea,AM,2013,algodao_herbaceo,0
1303,Lábrea,AM,2013,cana,100
1303,Lábrea,AM,2013,milho,4068
1303,Lábrea,AM,2013,soja,20
1303,Lábrea,AM,2014,algodao_arboreo,0
1303,Lábrea,AM,2014,algodao_herbaceo,0
1303,Lábrea,AM,2014,cana,70
1303,Lábrea,AM,2014,milho,2571
1303,Lábrea,AM,2014,soja,0
1303,Lábrea,AM,2015,algodao_arboreo,0
1303,Lábrea,AM,2015,algodao_herbaceo,0
1303,Lábrea,AM,2015,cana,54
1303,Lábrea,AM,2015,milho,1669
1303,Lábrea,AM,2015,soja,0
1303,Lábrea,AM,2016,algodao_arboreo,0
1303,Lábrea,AM,2016,algodao_herbaceo,0
1303,Lábrea,AM,2016,cana,10
1303,Lábrea,AM,2016,milho,1357
1303,Lábrea,AM,2016,soja,0
1303,Lábrea,AM,2017,algodao_arboreo,0
1303,Lábrea,AM,2017,algodao_herbaceo,0
1303,Lábrea,AM,2017,cana,10
1303,Lábrea,AM,2017,milho,1440
1303,Lábrea,AM,2017,soja,0
1303,Lábrea,AM,2018,algodao_arboreo,0
1303,Lábrea,AM,2018,algodao_herbaceo,0
1303,Lábrea,AM,2018,cana,15
1303,Lábrea,AM,2018,milho,1707
1303,Lábrea,AM,2018,soja,0
1303,Lábrea,AM,2019,algodao_arboreo,0
