periodo,origem_id,origem_nome,destino_id,destino_nome,area_ha
2008_2024,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,12 - Veg. sec. florestal,12 - Veg. sec. florestal,2692.14
2008_2024,12 - Veg. sec. florestal,12 - Veg. sec. florestal,2 - Soja,2 - Soja,2425.59
2008_2024,11 - Veg. prim. florestal,11 - Veg. prim. florestal,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,2415.65
2008_2024,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,12 - Veg. sec. florestal,12 - Veg. sec. florestal,2415.65
2008_2024,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,951.67
2008_2024,12 - Veg. sec. florestal,12 - Veg. sec. florestal,5 - Cana-de-açúcar,5 - Cana-de-açúcar,840.18
2008_2024,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,526.43
2008_2024,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,5 - Cana-de-açúcar,5 - Cana-de-açúcar,475.41
2008_2024,12 - Veg. sec. florestal,12 - Veg. sec. florestal,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,198.96
2008_2024,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,12 - Veg. sec. florestal,12 - Veg. sec. florestal,198.96
2008_2024,2 - Soja,2 - Soja,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,97.26
2008_2024,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,5 - Cana-de-açúcar,5 - Cana-de-açúcar,50.81
